,State
0,California
1,California
2,California
3,California
4,California
5,California
6,California
7,California
8,California
9,California
10,California
11,California
12,California
13,California
14,California
15,California
16,California
17,California
18,California
19,California
20,California
21,California
22,California
23,California
24,California
25,California
26,California
27,California
28,California
29,California
30,California
31,California
32,California
33,California
34,California
35,California
36,California
37,California
38,California
